run_accession	fastq_ftp	fastq_md5	library_layout
SRR396889	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396889/SRR396889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396889/SRR396889_2.fastq.gz	563a3f4fd2eba97de5cd1a9f3f6655c9;b2c720e3ac65caa6daa63d6671f0f3f0	PAIRED
SRR396895	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396895/SRR396895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396895/SRR396895_2.fastq.gz	7f23f78d56989de702dd55393a28373e;ad486b5bc51c6945727823c3da3af79e	PAIRED
SRR396902	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396902/SRR396902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396902/SRR396902_2.fastq.gz	eb6537cddbc380ae731290ab4326ce82;98be70f83a0ff2081cb5018e0bc2ea74	PAIRED
SRR396904	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396904/SRR396904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396904/SRR396904_2.fastq.gz	3c71549ee9422d5ba61100f541e8f9e9;a9e76e019e587cbc6ed5975f4b7b470a	PAIRED
SRR396910	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396910/SRR396910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396910/SRR396910_2.fastq.gz	42446b55db92d8a25051f455c8b43713;912ef4ce261425c4f699fad629c9544a	PAIRED
SRR396911	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396911/SRR396911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396911/SRR396911_2.fastq.gz	e7ddd5e65aa85cb8a45b924c98ef1860;2e3010f33df7dc72a39b442ee634550b	PAIRED
SRR396917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396917/SRR396917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396917/SRR396917_2.fastq.gz	e611c6923975a2fb24b17a838e5c5875;5812c618d1746f7c556f74b83db020c2	PAIRED
SRR396922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396922/SRR396922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396922/SRR396922_2.fastq.gz	c77eb974cf9e60174fe8e42403206841;5a00bf62d690e914c7b1f57e165fb910	PAIRED
SRR396923	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396923/SRR396923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396923/SRR396923_2.fastq.gz	2a4945c6100710b92db908857c46f97b;ee0129d6d894e6cb00f7b971745ec42c	PAIRED
SRR396925	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396925/SRR396925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396925/SRR396925_2.fastq.gz	e20b023fe0175a9a3429b223dcbc0b85;67b17f38781b2b8596fd247027ceac6d	PAIRED
SRR396931	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396931/SRR396931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396931/SRR396931_2.fastq.gz	da837a1ecdd56ded6afc721025701b29;8a5d13f9630005ed5b09f72db00b5121	PAIRED
SRR396932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396932/SRR396932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396932/SRR396932_2.fastq.gz	9285d04b14c6f7d51303c66737e8c376;047c15784d7fcdc6a6ad3dcbd783851d	PAIRED
SRR396933	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396933/SRR396933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396933/SRR396933_2.fastq.gz	4dbbb5c76d3663dd8b61b73655a92ad4;4a1d8af6a77b40740e44055f12ba31b6	PAIRED
SRR396936	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396936/SRR396936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396936/SRR396936_2.fastq.gz	466b7320647c8b80604c9fb761359ece;54973ce943d8c1cc14e92258dbc39f22	PAIRED
SRR396938	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396938/SRR396938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396938/SRR396938_2.fastq.gz	945dfb558ad3035e800c85a90e462e1d;29fdf70ebb604b4015f4624ee11af807	PAIRED
SRR396941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396941/SRR396941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396941/SRR396941_2.fastq.gz	29fde8b0d9bb210ecc52e4982117c88c;16ccdfb7306baf5439903c3501f51d62	PAIRED
SRR396944	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396944/SRR396944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396944/SRR396944_2.fastq.gz	d4b023ab7a671ca3ebfadf0a7ffc787e;238b4186b8cb8f27d813f5b35a730949	PAIRED
SRR396945	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396945/SRR396945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396945/SRR396945_2.fastq.gz	7f805b9f05ee725d35df1ecd885f52fb;fb2f232ed2f21100eb13e2d409f6c9c1	PAIRED
SRR396946	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396946/SRR396946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396946/SRR396946_2.fastq.gz	538850e013f5b6bcd27960b4f2a931a3;b91c5edf5ca82729ba557cf86efbc493	PAIRED
SRR396947	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396947/SRR396947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396947/SRR396947_2.fastq.gz	9e20b3714b58e5db1f88b2500de2edfc;54150a15fdc55953609bf78f96e51dc6	PAIRED
SRR396958	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396958/SRR396958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396958/SRR396958_2.fastq.gz	8f0da0c731bca240b9ab269a1bccc72c;d32b4d558bb562032a1674795b1d818e	PAIRED
SRR396959	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396959/SRR396959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396959/SRR396959_2.fastq.gz	d51b2c213dc2a699f05904837958e0e3;3445c6141613ba432b38b924bff06b64	PAIRED
SRR396960	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396960/SRR396960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396960/SRR396960_2.fastq.gz	48536865d4bfcdeecd0b2bd20292009a;4c625430f705b9bc80c22eabf8e5ab76	PAIRED
