run_accession	sample_accession	sample_alias	sample_title	experiment_title	library_layout	study_accession	study_title	center_name	fastq_ftp	collection_date
SRR396890	SAMN00771081	A02688	Colorectal tumour - Subject 0005-017	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02688	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396890/SRR396890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396890/SRR396890_2.fastq.gz	
SRR396894	SAMN00771085	A02692	Colorectal tumour - Subject 0005-022	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02692	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396894/SRR396894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396894/SRR396894_2.fastq.gz	
SRR396897	SAMN00771088	A02695	Colorectal tumour - Subject 0005-030	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02695	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396897/SRR396897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396897/SRR396897_2.fastq.gz	
SRR396898	SAMN00771089	A02696	Colorectal tumour - Subject 0005-031	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02696	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396898/SRR396898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396898/SRR396898_2.fastq.gz	
SRR396900	SAMN00771091	A02698	Colorectal tumour - Subject 0005-033	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02698	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396900/SRR396900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396900/SRR396900_2.fastq.gz	
SRR396905	SAMN00771096	A02703	Colorectal tumour - Subject 0005-040	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02703	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396905/SRR396905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396905/SRR396905_2.fastq.gz	
SRR396906	SAMN00771097	A02704	Colorectal tumour - Subject 0005-042	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02704	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396906/SRR396906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396906/SRR396906_2.fastq.gz	
SRR396909	SAMN00771100	A02707	Colorectal tumour - Subject 0005-047	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02707	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396909/SRR396909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396909/SRR396909_2.fastq.gz	
SRR396912	SAMN00771103	A02710	Colorectal tumour - Subject 0005-052	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02710	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396912/SRR396912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396912/SRR396912_2.fastq.gz	
SRR396913	SAMN00771104	A02711	Colorectal tumour - Subject 0005-053	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02711	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396913/SRR396913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396913/SRR396913_2.fastq.gz	
SRR396915	SAMN00771106	A02713	Colorectal tumour - Subject 0005-056	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02713	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396915/SRR396915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396915/SRR396915_2.fastq.gz	
SRR396918	SAMN00771109	A02716	Colorectal tumour - Subject 0005-059	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02716	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396918/SRR396918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396918/SRR396918_2.fastq.gz	
SRR396920	SAMN00771111	A02718	Colorectal tumour - Subject 0005-062	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02718	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396920/SRR396920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396920/SRR396920_2.fastq.gz	
SRR396924	SAMN00771115	A02722	Normal colon epithelium - Subject 0005-013	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02722	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396924/SRR396924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396924/SRR396924_2.fastq.gz	
SRR396928	SAMN00771119	A02726	Normal colon epithelium - Subject 0005-020	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02726	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396928/SRR396928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396928/SRR396928_2.fastq.gz	
SRR396935	SAMN00771126	A02733	Normal colon epithelium - Subject 0005-032	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02733	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396935/SRR396935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396935/SRR396935_2.fastq.gz	
SRR396937	SAMN00771128	A02735	Normal colon epithelium - Subject 0005-034	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02735	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396937/SRR396937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396937/SRR396937_2.fastq.gz	
SRR396940	SAMN00771131	A02738	Normal colon epithelium - Subject 0005-037	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02738	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396940/SRR396940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396940/SRR396940_2.fastq.gz	
SRR396943	SAMN00771134	A02741	Normal colon epithelium - Subject 0005-043	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02741	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396943/SRR396943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396943/SRR396943_2.fastq.gz	
SRR396948	SAMN00771139	A02746	Normal colon epithelium - Subject 0005-052	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02746	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396948/SRR396948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396948/SRR396948_2.fastq.gz	
SRR396951	SAMN00771142	A02749	Normal colon epithelium - Subject 0005-056	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02749	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396951/SRR396951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396951/SRR396951_2.fastq.gz	
SRR396952	SAMN00771143	A02750	Normal colon epithelium - Subject 0005-057	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02750	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396952/SRR396952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396952/SRR396952_2.fastq.gz	
SRR396953	SAMN00771144	A02751	Normal colon epithelium - Subject 0005-058	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02751	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396953/SRR396953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396953/SRR396953_2.fastq.gz	
SRR396954	SAMN00771145	A02752	Normal colon epithelium - Subject 0005-059	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02752	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396954/SRR396954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396954/SRR396954_2.fastq.gz	
SRR396963	SAMN00771082	A02689	Colorectal tumour - Subject 0005-019	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02689	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396963/SRR396963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396963/SRR396963_2.fastq.gz	
